RetailerName,Brand,AverageSales1,Standard Deviation1,LCLmean-sigma1,UCLmean+sigma1,Min of Calendar Year Num
Ulta,BIO OIL,7966.714285714285,1825.0779798827953,6141.63630583149,9791.79226559708,2019
Ulta,BIORE,75791.28571428571,8166.510729179056,67624.77498510665,83957.79644346477,2019
Ulta,BRILLIANT BRUNETTE,11262.42857142857,893.2048808552789,10369.223690573292,12155.63345228385,2019
Ulta,FRIZZ EASE,36081.5,2761.048112324641,33320.45188767536,38842.54811232464,2019
Ulta,JERGENS,34306.78571428572,10842.81919836198,23463.966515923737,45149.6049126477,2019
Ulta,JF DAY 2 REVIVAL,389,436.4256332221256,-47.42563322212561,825.4256332221256,2019
Ulta,JF GENERAL,923.8333333333334,1292.08828602727,-368.2549526939366,2215.9216193606035,2019
Ulta,JOHN FRIEDA COLOUR,2550.5714285714284,1325.3118616432305,1225.259566928198,3875.8832902146587,2019
Ulta,PRECISION FOAM COLOR,14634.5,6637.58906047326,7996.91093952674,21272.08906047326,2019
Ulta,RADIANT RED,2110.1428571428573,223.63613851294014,1886.5067186299173,2333.7789956557976,2019
Ulta,SHEER BLONDE,18428.071428571428,2118.447897612311,16309.623530959117,20546.519326183738,2019
Ulta,VOLUME,11468.142857142857,965.4682695934815,10502.674587549376,12433.611126736338,2019
Wal*Mart Stores,,171483.73333333334,57280.27562371613,114203.45770961721,228764.00895704946,2019
Wal*Mart Stores,BAN,209148.86666666667,10883.460845807436,198265.40582085925,220032.3275124741,2019
Wal*Mart Stores,BEACH BLONDE,186,94.98771850437647,91.01228149562353,280.98771850437646,2019
Wal*Mart Stores,BIORE,768578.4,62362.67588421733,706215.7241157827,830941.0758842174,2019
Wal*Mart Stores,BRILLIANT BRUNETTE,33738.933333333334,1749.945159775655,31988.98817355768,35488.87849310899,2019
Wal*Mart Stores,CUREL,388098.8,31991.51014712054,356107.2898528795,420090.3101471205,2019
Wal*Mart Stores,FRIZZ EASE,294096.3333333333,9766.399102137962,284329.93423119537,303862.73243547126,2019
Wal*Mart Stores,FULL REPAIR,1,6,-5,7,2019
Wal*Mart Stores,JERGENS,2282060.2,238177.3844929291,2043882.815507071,2520237.5844929293,2019
Wal*Mart Stores,JF DAY 2 REVIVAL,24,0,24,24,2019
Wal*Mart Stores,JOHN FRIEDA COLOUR,237.13333333333333,88.45779910342685,148.67553422990648,325.5911324367602,2019
Wal*Mart Stores,MEGRHYTHM,32.75,19.201236939322424,13.548763060677576,51.95123693932243,2019
Wal*Mart Stores,PRECISION FOAM COLOR,98741.13333333333,3746.3969155561185,94994.73641777721,102487.53024888945,2019
Wal*Mart Stores,RADIANT RED,1002.8666666666667,211.44514392364044,791.4215227430262,1214.3118105903072,2019
